isinCd,ytm,coupon_rate,after_tax_yield_approx,calculation_status
KR2055022G82,4.258,2.0,3.95,CALCULATED
KR2066022C59,3.34,1.05,3.1782999999999997,CALCULATED
KR2077022G78,4.24,2.0,3.9320000000000004,CALCULATED
KR2077022G86,4.258,2.0,3.95,CALCULATED
KR2088022G75,4.24,2.0,3.9320000000000004,CALCULATED
KR2088022G83,4.258,2.0,3.95,CALCULATED
KR2099032G70,4.24,2.0,3.9320000000000004,CALCULATED
KR2099032G88,4.258,2.0,3.95,CALCULATED
KR2100012G70,4.256,2.0,3.9480000000000004,CALCULATED
KR2100012G88,4.258,2.0,3.95,CALCULATED
KR2101012G78,4.24,2.0,3.9320000000000004,CALCULATED
KR2101012G86,4.258,2.0,3.95,CALCULATED
KR2106012G77,4.24,2.0,3.9320000000000004,CALCULATED
KR2106012G85,4.258,2.0,3.95,CALCULATED
KR310502GC82,4.615,4.59,3.9081400000000004,CALCULATED
KR310506AFB6,3.431,2.78,3.00288,CALCULATED
KR350101GB92,3.233,1.938,2.934548,CALCULATED
KR350103G9B0,2.752,1.862,2.4652519999999996,CALCULATED
KR350103GA18,3.115,1.79,2.83934,CALCULATED
KR350103GBB9,3.741,2.528,3.3516880000000002,CALCULATED
KR350104GA25,3.115,1.515,2.8816900000000003,CALCULATED
KR350105GEA0,2.699,3.229,2.201734,CALCULATED
KR350107GB96,3.679,2.059,3.3619139999999996,CALCULATED
KR350201GAB3,3.472,1.61,3.22406,CALCULATED
KR354404GB98,6.392,1.876,6.103096000000001,CALCULATED
KR356101DE40,4.306,3.05,3.8363,CALCULATED
KR356101DFB5,4.19,2.22,3.84812,CALCULATED
KR356101DG89,4.69,2.66,4.28036,CALCULATED
KR3561027243,4.419,4.41,3.7398599999999997,CALCULATED
KR3561127225,4.469,4.35,3.7991,CALCULATED
KR356801G6A0,3.433,2.27,3.08342,CALCULATED
KR380601GE34,4.946,4.9,4.1914,CALCULATED
KR380801AG36,3.073,2.75,2.6494999999999997,CALCULATED
KR380807GE85,2.74,3.2,2.2472000000000003,CALCULATED
KR381001G9A0,3.501,2.15,3.1698999999999997,CALCULATED
KR381001GD70,5.317,5.3,4.5008,CALCULATED
KR381002GC47,4.311,4.3,3.6488,CALCULATED
KR381003GD86,45.589,,,MISSING_COUPON
KR6000011D31,4.634,4.63,3.92098,CALCULATED
KR6000011E48,4.21,4.19,3.56474,CALCULATED
KR6000012C56,4.502,4.5,3.8089999999999997,CALCULATED
KR6000014CA7,5.551,5.7,4.6732000000000005,CALCULATED
KR6000014F44,3.769,2.55,3.3763,CALCULATED
KR6000017F41,3.692,3.45,3.1607000000000003,CALCULATED
KR600001AFA9,3.499,2.59,3.10014,CALCULATED
KR6000153E38,3.913,4.801,3.1736459999999997,CALCULATED
KR6000153F11,3.915,4.178,3.271588,CALCULATED
KR6000371C36,4.963,4.9,4.2084,CALCULATED
KR6000371C93,6.458,6.5,5.457000000000001,CALCULATED
KR6000371E83,5.083,4.78,4.3468800000000005,CALCULATED
KR6000401A57,9.454,6.08,8.51768,CALCULATED
KR6000401BC4,8.944,6.8,7.896800000000001,CALCULATED
KR6000401C97,8.683,6.9,7.6204,CALCULATED
KR6000401D70,8.701,7.5,7.546,CALCULATED
KR6000401DC0,8.785,7.29,7.66234,CALCULATED
KR6000401E61,8.978,6.8,7.9308,CALCULATED
KR6000401EB0,8.283,6.2,7.3282,CALCULATED
KR6000541C56,6.741,6.5,5.74,CALCULATED
KR6000541E96,7.322,6.3,6.3518,CALCULATED
KR6000541F38,6.971,6.1,6.0316,CALCULATED
KR60007K1G22,5.202,5.69,4.32574,CALCULATED
KR6000821EA1,4.86,5.4,4.0284,CALCULATED
KR6000822EA9,5.707,5.7,4.8292,CALCULATED
KR6001792F40,4.535,3.663,3.970898,CALCULATED
KR6002322F13,4.133,4.141,3.495286,CALCULATED
KR6002322F54,4.379,4.043,3.7563779999999998,CALCULATED
KR6002322G12,5.741,4.135,5.10421,CALCULATED
KR6002551F31,4.913,4.2,4.2662,CALCULATED
