isinCd,credit_rating,credit_spread,duration_sensitivity,rating_signal,spread_signal,duration_signal,total_score,available_signals,investment_priority
KR6316141D26,AA-,0.4580000000000002,,STABLE,NEUTRAL,,1,2,안정성 중심
KR6316141E25,AA-,0.3039999999999994,,STABLE,NEUTRAL,,1,2,안정성 중심
KR6329183E19,AA-,0.0350000000000001,저민감,STABLE,NEUTRAL,STABLE,2,3,안정성 중심
KR6331593E27,A0,1.1960000000000002,중간,NEUTRAL,YIELD,NEUTRAL,-1,3,수익률 중심
KR6336262F33,BBB0,1.451,중간,YIELD,YIELD,NEUTRAL,-2,3,수익률 중심
KR6336262F82,BBB0,1.5020000000000002,중간,YIELD,YIELD,NEUTRAL,-2,3,수익률 중심
KR6348371EB6,BB0,-3.780095140314853,,YIELD,STABLE,,0,2,균형형
KR6361612E21,A-,1.5799999999999996,중간,NEUTRAL,YIELD,NEUTRAL,-1,3,수익률 중심
KR6361612FA4,A-,0.9120000000000004,중간,NEUTRAL,YIELD,NEUTRAL,-1,3,수익률 중심
KR6404712DA6,A+,1.2550000000000003,저민감,NEUTRAL,YIELD,STABLE,0,3,균형형
KR6404712E36,A+,1.3039999999999998,중간,NEUTRAL,YIELD,NEUTRAL,-1,3,수익률 중심
KR6427082F20,A+,0.790224503764545,고민감,NEUTRAL,YIELD,YIELD,-2,3,수익률 중심
KR6473521DC3,AA+,0.4389999999999996,저민감,STABLE,NEUTRAL,STABLE,2,3,안정성 중심
KRC0355P2694,,-0.902,저민감,,STABLE,STABLE,2,2,안정성 중심
KRC035AP26C3,,-0.7000000000000002,저민감,,STABLE,STABLE,2,2,안정성 중심
KRC035FP2732,,-0.3729999999999998,중간,,STABLE,NEUTRAL,1,2,안정성 중심
