date,base_rate,cpi_yoy,yield_spread_10y_3y,credit_spread,policy_spread,short_rate_change,long_rate_change
2015-01-02,2.0,,0.5250000000000004,0.3290000000000002,0.1349999999999998,,
2015-01-05,2.0,,0.504,0.3280000000000003,0.1179999999999998,,
2015-01-06,2.0,,0.476,0.3289999999999997,0.0790000000000001,,
2015-01-07,2.0,,0.484,0.3319999999999998,0.076,,
2015-01-08,2.0,,0.48,0.3309999999999999,0.072,,
2015-01-09,2.0,,0.48,0.3349999999999999,0.056,,
2015-01-12,2.0,,0.443,0.3330000000000002,0.0059999999999997,,
2015-01-13,2.0,,0.4089999999999998,0.3189999999999999,0.024,,
2015-01-14,2.0,,0.3950000000000002,0.3219999999999998,-0.026,,
2015-01-15,2.0,,0.4060000000000001,0.318,0.044,,
2015-01-16,2.0,,0.3319999999999998,0.318,0.012,,
2015-01-19,2.0,,0.347,0.3210000000000002,0.0379999999999998,,
2015-01-20,2.0,,0.3289999999999997,0.3149999999999999,0.0310000000000001,,
2015-01-21,2.0,,0.3269999999999999,0.3160000000000003,0.0449999999999999,,
2015-01-22,2.0,,0.3419999999999996,0.3139999999999996,0.0630000000000001,,
2015-01-23,2.0,,0.302,0.306,0.0270000000000001,,
2015-01-26,2.0,,0.2759999999999998,0.298,0.024,,
2015-01-27,2.0,,0.2709999999999999,0.2960000000000002,0.0289999999999999,,
2015-01-28,2.0,,0.2549999999999999,0.2989999999999999,0.004,,
2015-01-29,2.0,,0.2289999999999998,0.2979999999999998,-0.002,,
2015-01-30,2.0,,0.2700000000000002,0.304,-0.03,-0.1649999999999998,-0.41999999999999993
2015-02-02,2.0,,0.26,0.2949999999999997,-0.0149999999999999,-0.13299999999999979,-0.3769999999999998
2015-02-03,2.0,,0.2759999999999998,0.306,-0.0649999999999999,-0.14400000000000013,-0.3440000000000003
2015-02-04,2.0,,0.288,0.2969999999999999,-0.0389999999999999,-0.11499999999999999,-0.31099999999999994
2015-02-05,2.0,,0.3029999999999999,0.2909999999999999,-0.0249999999999999,-0.09699999999999998,-0.274
2015-02-06,2.0,,0.3110000000000001,0.2889999999999999,-0.038,-0.09400000000000008,-0.2629999999999999
2015-02-09,2.0,,0.3179999999999998,0.2869999999999997,-0.0229999999999999,-0.028999999999999693,-0.15399999999999991
2015-02-10,2.0,,0.2999999999999998,0.2650000000000001,0.056,0.03200000000000003,-0.07699999999999996
2015-02-11,2.0,,0.3009999999999997,0.2669999999999999,0.0510000000000001,0.07700000000000018,-0.017000000000000348
2015-02-12,2.0,,0.3309999999999999,0.2649999999999997,0.0750000000000001,0.03100000000000014,-0.04400000000000004
2015-02-13,2.0,,0.3500000000000001,0.2710000000000003,0.0499999999999998,0.03799999999999981,0.05600000000000005
2015-02-16,2.0,,0.3859999999999997,0.2649999999999997,0.0910000000000001,0.05300000000000038,0.09200000000000008
2015-02-17,2.0,,0.3290000000000002,0.2690000000000001,0.0539999999999998,0.022999999999999687,0.02300000000000013
2015-02-23,2.0,,0.3650000000000002,0.2709999999999999,0.0609999999999999,0.016000000000000014,0.05400000000000027
2015-02-24,2.0,,0.371,0.2709999999999999,0.0630000000000001,0.0,0.02900000000000036
2015-02-25,2.0,,0.3380000000000001,0.27,0.0369999999999999,0.009999999999999787,0.04599999999999982
2015-02-26,2.0,,0.326,0.262,0.04,0.016000000000000014,0.06600000000000028
2015-02-27,2.0,,0.3190000000000004,0.2570000000000001,0.0339999999999998,0.004999999999999893,0.05300000000000038
2015-03-02,2.0,,0.33,0.2629999999999999,0.0,-0.0040000000000000036,0.07100000000000017
2015-03-03,2.0,,0.3619999999999999,0.268,-0.01,-0.008000000000000007,0.125
2015-03-04,2.0,,0.387,0.27,-0.02,0.010000000000000009,0.12699999999999978
2015-03-05,2.0,,0.377,0.268,-0.022,-0.007000000000000117,0.10999999999999988
2015-03-06,2.0,,0.3860000000000001,0.2709999999999999,-0.0569999999999999,0.008000000000000007,0.11800000000000033
2015-03-09,2.0,,0.447,0.278,-0.076,-0.037000000000000144,0.12199999999999989
