STAT_CODE,STAT_NAME,GRP_CODE,GRP_NAME,ITEM_CODE,ITEM_NAME,P_ITEM_CODE,P_ITEM_NAME,CYCLE,START_TIME,END_TIME,DATA_CNT,UNIT_NAME,WEIGHT
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01109,국수,A011,빵 및 곡물,Q,1975Q1,2026Q2,206,2020=100,0.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01110,라면,A011,빵 및 곡물,A,1975,2025,51,2020=100,2.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01110,라면,A011,빵 및 곡물,M,197501,202607,619,2020=100,2.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01110,라면,A011,빵 및 곡물,Q,1975Q1,2026Q2,206,2020=100,2.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01111,당면,A011,빵 및 곡물,A,1975,2025,51,2020=100,0.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01111,당면,A011,빵 및 곡물,M,197501,202607,619,2020=100,0.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01111,당면,A011,빵 및 곡물,Q,1975Q1,2026Q2,206,2020=100,0.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01112,두부,A011,빵 및 곡물,A,1975,2025,51,2020=100,1.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01112,두부,A011,빵 및 곡물,M,197501,202607,619,2020=100,1.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01112,두부,A011,빵 및 곡물,Q,1975Q1,2026Q2,206,2020=100,1.2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01113,시리얼,A011,빵 및 곡물,A,1995,2025,31,2020=100,0.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01113,시리얼,A011,빵 및 곡물,M,199501,202607,379,2020=100,0.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01113,시리얼,A011,빵 및 곡물,Q,1995Q1,2026Q2,126,2020=100,0.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01114,부침가루,A011,빵 및 곡물,A,2000,2025,26,2020=100,0.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01114,부침가루,A011,빵 및 곡물,M,200001,202607,319,2020=100,0.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01114,부침가루,A011,빵 및 곡물,Q,2000Q1,2026Q2,106,2020=100,0.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01115,케이크,A011,빵 및 곡물,A,1985,2025,41,2020=100,1.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01115,케이크,A011,빵 및 곡물,M,198501,202607,499,2020=100,1.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01115,케이크,A011,빵 및 곡물,Q,1985Q1,2026Q2,166,2020=100,1.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01116,빵,A011,빵 및 곡물,A,1985,2025,41,2020=100,6.8
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01116,빵,A011,빵 및 곡물,M,198001,202607,559,2020=100,6.8
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01116,빵,A011,빵 및 곡물,Q,1985Q1,2026Q2,166,2020=100,6.8
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01117,떡,A011,빵 및 곡물,A,1975,2025,51,2020=100,1.9
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01117,떡,A011,빵 및 곡물,M,197501,202607,619,2020=100,1.9
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01117,떡,A011,빵 및 곡물,Q,1975Q1,2026Q2,206,2020=100,1.9
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01118,파스타면,A011,빵 및 곡물,A,2015,2025,11,2020=100,0.1
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01118,파스타면,A011,빵 및 곡물,M,201501,202607,139,2020=100,0.1
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01118,파스타면,A011,빵 및 곡물,Q,2015Q1,2026Q2,46,2020=100,0.1
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A012,육류,A01,식료품,A,1985,2025,41,2020=100,28.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A012,육류,A01,식료품,M,198501,202607,499,2020=100,28.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A012,육류,A01,식료품,Q,1985Q1,2026Q2,166,2020=100,28.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01201,국산쇠고기,A012,육류,A,1975,2025,51,2020=100,8.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01201,국산쇠고기,A012,육류,M,197501,202607,619,2020=100,8.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01201,국산쇠고기,A012,육류,Q,1975Q1,2026Q2,206,2020=100,8.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01202,수입쇠고기,A012,육류,A,1995,2025,31,2020=100,3.1
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01202,수입쇠고기,A012,육류,M,199501,202607,379,2020=100,3.1
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01202,수입쇠고기,A012,육류,Q,1995Q1,2026Q2,126,2020=100,3.1
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01203,돼지고기,A012,육류,A,1975,2025,51,2020=100,9.8
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01203,돼지고기,A012,육류,M,197501,202607,619,2020=100,9.8
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01203,돼지고기,A012,육류,Q,1975Q1,2026Q2,206,2020=100,9.8
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01204,닭고기,A012,육류,A,1975,2025,51,2020=100,1.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01204,닭고기,A012,육류,M,197501,202607,619,2020=100,1.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01204,닭고기,A012,육류,Q,1975Q1,2026Q2,206,2020=100,1.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01205,소시지,A012,육류,A,1975,2025,51,2020=100,2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01205,소시지,A012,육류,M,197501,202607,619,2020=100,2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01205,소시지,A012,육류,Q,1975Q1,2026Q2,206,2020=100,2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01206,햄및베이컨,A012,육류,A,2005,2025,21,2020=100,2.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01206,햄및베이컨,A012,육류,M,200501,202607,259,2020=100,2.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01206,햄및베이컨,A012,육류,Q,2005Q1,2026Q2,86,2020=100,2.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01207,기타육류가공품,A012,육류,A,2020,2025,6,2020=100,0.9
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01207,기타육류가공품,A012,육류,M,202001,202607,79,2020=100,0.9
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01207,기타육류가공품,A012,육류,Q,2020Q1,2026Q2,26,2020=100,0.9
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A013,어류 및 수산,A01,식료품,A,1985,2025,41,2020=100,13
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A013,어류 및 수산,A01,식료품,M,198501,202607,499,2020=100,13
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A013,어류 및 수산,A01,식료품,Q,1985Q1,2026Q2,166,2020=100,13
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01301,갈치,A013,어류 및 수산,A,1975,2025,51,2020=100,1.1
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01301,갈치,A013,어류 및 수산,M,197501,202607,619,2020=100,1.1
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01301,갈치,A013,어류 및 수산,Q,1975Q1,2026Q2,206,2020=100,1.1
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01302,명태,A013,어류 및 수산,A,1975,2025,51,2020=100,0.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01302,명태,A013,어류 및 수산,M,197501,202607,619,2020=100,0.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01302,명태,A013,어류 및 수산,Q,1975Q1,2026Q2,206,2020=100,0.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01303,조기,A013,어류 및 수산,A,1975,2025,51,2020=100,0.9
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01303,조기,A013,어류 및 수산,M,197501,202607,619,2020=100,0.9
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01303,조기,A013,어류 및 수산,Q,1975Q1,2026Q2,206,2020=100,0.9
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01304,고등어,A013,어류 및 수산,A,1975,2025,51,2020=100,2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01304,고등어,A013,어류 및 수산,M,197501,202607,619,2020=100,2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01304,고등어,A013,어류 및 수산,Q,1975Q1,2026Q2,206,2020=100,2
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01305,오징어,A013,어류 및 수산,A,1975,2025,51,2020=100,1
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01305,오징어,A013,어류 및 수산,M,197501,202607,619,2020=100,1
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01305,오징어,A013,어류 및 수산,Q,1975Q1,2026Q2,206,2020=100,1
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01306,게,A013,어류 및 수산,A,2010,2025,16,2020=100,0.9
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01306,게,A013,어류 및 수산,M,201001,202607,199,2020=100,0.9
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01306,게,A013,어류 및 수산,Q,2010Q1,2026Q2,66,2020=100,0.9
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01307,굴,A013,어류 및 수산,A,1975,2025,51,2020=100,0.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01307,굴,A013,어류 및 수산,M,197501,202607,619,2020=100,0.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01307,굴,A013,어류 및 수산,Q,1975Q1,2026Q2,206,2020=100,0.4
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01308,조개,A013,어류 및 수산,A,1975,2025,51,2020=100,0.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01308,조개,A013,어류 및 수산,M,197501,202607,619,2020=100,0.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01308,조개,A013,어류 및 수산,Q,1975Q1,2026Q2,206,2020=100,0.6
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01309,전복,A013,어류 및 수산,A,2010,2025,16,2020=100,0.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01309,전복,A013,어류 및 수산,M,201001,202607,199,2020=100,0.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01309,전복,A013,어류 및 수산,Q,2010Q1,2026Q2,66,2020=100,0.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01310,새우,A013,어류 및 수산,A,2020,2025,6,2020=100,0.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01310,새우,A013,어류 및 수산,M,202001,202607,79,2020=100,0.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01310,새우,A013,어류 및 수산,Q,2020Q1,2026Q2,26,2020=100,0.7
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01311,마른멸치,A013,어류 및 수산,A,1975,2025,51,2020=100,0.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01311,마른멸치,A013,어류 및 수산,M,197501,202607,619,2020=100,0.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01311,마른멸치,A013,어류 및 수산,Q,1975Q1,2026Q2,206,2020=100,0.5
901Y009,4.2.1. 소비자물가지수,Group1,계정항목,A01312,마른오징어,A013,어류 및 수산,A,1975,2025,51,2020=100,0.2
