STAT_CODE,STAT_NAME,ITEM_CODE1,ITEM_NAME1,ITEM_CODE2,ITEM_NAME2,ITEM_CODE3,ITEM_NAME3,ITEM_CODE4,ITEM_NAME4,UNIT_NAME,WGT,TIME,DATA_VALUE
817Y002,1.3.2.1. 시장금리(일별),010300000,"회사채(3년, AA-)",,,,,,,연%,,20150324,2.055
817Y002,1.3.2.1. 시장금리(일별),010300000,"회사채(3년, AA-)",,,,,,,연%,,20150325,2.045
817Y002,1.3.2.1. 시장금리(일별),010300000,"회사채(3년, AA-)",,,,,,,연%,,20150326,2.043
817Y002,1.3.2.1. 시장금리(일별),010300000,"회사채(3년, AA-)",,,,,,,연%,,20150327,2.03
817Y002,1.3.2.1. 시장금리(일별),010300000,"회사채(3년, AA-)",,,,,,,연%,,20150330,2.011
817Y002,1.3.2.1. 시장금리(일별),010300000,"회사채(3년, AA-)",,,,,,,연%,,20150331,1.992
817Y002,1.3.2.1. 시장금리(일별),010300000,"회사채(3년, AA-)",,,,,,,연%,,20150401,1.99
817Y002,1.3.2.1. 시장금리(일별),010300000,"회사채(3년, AA-)",,,,,,,연%,,20150402,1.988
817Y002,1.3.2.1. 시장금리(일별),010300000,"회사채(3년, AA-)",,,,,,,연%,,20150403,1.98
817Y002,1.3.2.1. 시장금리(일별),010300000,"회사채(3년, AA-)",,,,,,,연%,,20150406,1.971
817Y002,1.3.2.1. 시장금리(일별),010300000,"회사채(3년, AA-)",,,,,,,연%,,20150407,1.975
817Y002,1.3.2.1. 시장금리(일별),010300000,"회사채(3년, AA-)",,,,,,,연%,,20150408,1.978
817Y002,1.3.2.1. 시장금리(일별),010300000,"회사채(3년, AA-)",,,,,,,연%,,20150409,1.951
817Y002,1.3.2.1. 시장금리(일별),010300000,"회사채(3년, AA-)",,,,,,,연%,,20150410,1.963
817Y002,1.3.2.1. 시장금리(일별),010300000,"회사채(3년, AA-)",,,,,,,연%,,20150413,1.975
817Y002,1.3.2.1. 시장금리(일별),010300000,"회사채(3년, AA-)",,,,,,,연%,,20150414,1.978
