STAT_CODE,STAT_NAME,GRP_CODE,GRP_NAME,ITEM_CODE,ITEM_NAME,P_ITEM_CODE,P_ITEM_NAME,CYCLE,START_TIME,END_TIME,DATA_CNT,UNIT_NAME,WEIGHT
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0113000,설비투자지원 프로그램대출금리,,,Q,2014Q3,2026Q2,48,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0112000,지방중소기업지원 프로그램대출금리,,,A,2013,2025,13,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0112000,지방중소기업지원 프로그램대출금리,,,D,20130411,20260810,4869,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0112000,지방중소기업지원 프로그램대출금리,,,M,201304,202607,160,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0112000,지방중소기업지원 프로그램대출금리,,,Q,2013Q2,2026Q2,53,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0104000,자금조정 대출금리,,,A,2008,2025,18,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0104000,자금조정 대출금리,,,D,20080307,20260810,6730,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0104000,자금조정 대출금리,,,M,200803,202607,221,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0104000,자금조정 대출금리,,,Q,2008Q1,2026Q2,74,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0105000,자금조정 예금금리,,,A,2008,2025,18,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0105000,자금조정 예금금리,,,D,20080307,20260810,6730,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0105000,자금조정 예금금리,,,M,200803,202607,221,연%,
722Y001,1.3.1. 한국은행 기준금리 및 여수신금리,Group1,계정항목,0105000,자금조정 예금금리,,,Q,2008Q1,2026Q2,74,연%,
