basDt,srtnCd,isinCd,itmsNm,mrktCtg,xpYrCnt,itmsCtg,clprPrc,clprVs,clprBnfRt,mkpPrc,mkpBnfRt,hiprPrc,hiprBnfRt,loprPrc,loprBnfRt,trqu,trPrc
20260807,D002022G8,KR2002022G84,강원지역개발26-08,소액채권, , ,8937,-15,4.258,8942,4.247,8942,4.247,8927.5,4.28,858114000,767137516
20260807,D003022G7,KR2003022G74,대전지역개발26-07,소액채권, , ,8977,-15,4.24,8953,4.296,8977,4.24,8953,4.296,298721000,267798520
20260807,D003022G8,KR2003022G82,대전지역개발26-08,소액채권, , ,8937,-15,4.258,8942,4.247,8942,4.247,8927.5,4.28,404919000,362009002
20260807,D004022G7,KR2004022G72,인천지역개발26-07,소액채권, , ,8977,-15,4.24,8953,4.296,8977,4.24,8950.5,4.302,1257430000,1126901315
20260807,D004022G8,KR2004022G80,인천지역개발26-08,소액채권, , ,8937,-15,4.258,8942,4.247,8942,4.247,8937,4.258,967772000,865236466
20260807,D006014C7,KR2006014C71,부산도시철도22-07,일반채권, , ,10190,0,3.461,10190,3.461,10190,3.461,10190,3.461,60000000,61140000
20260807,D006014G7,KR2006014G77,부산도시철도26-07,소액채권, , ,8993,1,4.202,8993,4.202,8993,4.202,8993,4.202,1188315000,1068651514
20260807,D006014G8,KR2006014G85,부산도시철도26-08,소액채권, , ,8937,-15,4.258,8953,4.221,8953,4.221,8937,4.258,281836000,252288852
20260807,D006022G7,KR2006022G77,부산지역개발26-07,소액채권, , ,8977,-15,4.24,8951,4.3,8977,4.24,8951,4.3,329033000,294842190
20260807,D006022G8,KR2006022G85,부산지역개발26-08,소액채권, , ,8937,-15,4.258,8942,4.247,8942,4.247,8927,4.281,399726000,357304510
20260807,D007022G7,KR2007022G75,대구지역개발26-07,소액채권, , ,8977,-15,4.24,8951,4.3,8977,4.24,8951,4.3,274931000,246340488
20260807,D007022G8,KR2007022G83,대구지역개발26-08,소액채권, , ,8937,-15,4.258,8942,4.247,8942,4.247,8928,4.279,405555000,362417005
20260807,D007024G7,KR2007024G73,대구도시철도26-07,소액채권, , ,8976,-16,4.242,8993,4.202,8993,4.202,8973,4.249,815701000,733344023
20260807,D007024G8,KR2007024G81,대구도시철도26-08,소액채권, , ,8937,-15,4.258,8953,4.221,8953,4.221,8937,4.258,122871000,109992075
20260807,D008012G7,KR2008012G75,울산지역개발26-07,소액채권, , ,8977,-15,4.24,8953,4.296,8977,4.24,8950.5,4.302,497299000,445696623
20260807,D008012G8,KR2008012G83,울산지역개발26-08,소액채권, , ,8937,-15,4.258,8942,4.247,8942,4.247,8927.5,4.28,599141000,535588173
20260807,D022012D1,KR2022012D12,충남지역개발23-01,일반채권, , ,10621.1,0,4.332,10621.1,4.332,10621.1,4.332,10621.1,4.332,610000,647887
20260807,D022022G7,KR2022022G74,충남지역개발26-07,소액채권, , ,8977,-15,4.24,8953,4.296,8977,4.24,8951,4.3,476866000,427355905
20260807,D022022G8,KR2022022G82,충남지역개발26-08,소액채권, , ,8937,-15,4.258,8942,4.247,8942,4.247,8927.5,4.28,1419788000,1269360390
20260807,D033022G7,KR2033022G71,충북지역개발26-07,소액채권, , ,8977,-15,4.24,8951,4.3,8977,4.24,8950.5,4.302,602572000,539885046
20260807,D033022G8,KR2033022G89,충북지역개발26-08,소액채권, , ,8937,-15,4.258,8942,4.247,8942,4.247,8927.5,4.28,1357028000,1213074477
20260807,D044022C8,KR2044022C80,경기지역개발22-08,일반채권, , ,10076,0,4.272,10076,4.272,10076,4.272,10076,4.272,20060000,20212456
20260807,D044022G7,KR2044022G78,경기지역개발26-07,소액채권, , ,8977,-15,4.24,8954,4.293,8977,4.24,8954,4.293,478321000,428502055
20260807,D044022G8,KR2044022G86,경기지역개발26-08,소액채권, , ,8937,-15,4.258,8942,4.247,8942,4.247,8930,4.274,3170027000,2833858365
20260807,D055012C9,KR2055012C96,전북지역개발22-09,일반채권, , ,9873,0,5.806,9873,5.806,9873,5.806,9873,5.806,40000,39492
20260807,D055022C3,KR2055022C37,전북지역개발22-03,일반채권, , ,10265.8,0,4.07,10265.8,4.07,10265.8,4.07,10265.8,4.07,50530000,51873087
20260807,D055022C4,KR2055022C45,전북지역개발22-04,일반채권, , ,10227.6,0,4.137,10227.6,4.137,10227.6,4.137,10227.6,4.137,10960000,11209449
20260807,D055022G7,KR2055022G74,전북지역개발26-07,소액채권, , ,8977,-15,4.24,8953,4.296,8977,4.24,8950.5,4.302,651568000,583848179
20260807,D055022G8,KR2055022G82,전북지역개발26-08,소액채권, , ,8937,-15,4.258,8942,4.247,8942,4.247,8928.5,4.278,730704000,653281360
20260807,D066022C5,KR2066022C59,전남지역개발22-05,일반채권, , ,10257.2,0,3.34,10257.2,3.34,10257.2,3.34,10257.2,3.34,500000,512860
20260807,D077022G7,KR2077022G78,경북지역개발26-07,소액채권, , ,8977,-15,4.24,8953,4.296,8977,4.24,8922.5,4.367,735345000,658651596
20260807,D077022G8,KR2077022G86,경북지역개발26-08,소액채권, , ,8937,-15,4.258,8942,4.247,8942,4.247,8927.5,4.28,1611428000,1440379622
20260807,D088022G7,KR2088022G75,경남지역개발26-07,소액채권, , ,8977,-15,4.24,8951,4.3,8977,4.24,8951,4.3,223263000,199961799
20260807,D088022G8,KR2088022G83,경남지역개발26-08,소액채권, , ,8937,-15,4.258,8942,4.247,8942,4.247,8937,4.258,289029000,258424680
20260807,D099032G7,KR2099032G70,제주지역개발26-07,소액채권, , ,8977,-15,4.24,8954,4.293,8977,4.24,8954,4.293,183085000,164029593
20260807,D099032G8,KR2099032G88,제주지역개발26-08,소액채권, , ,8937,-15,4.258,8942,4.247,8942,4.247,8937,4.258,138811000,124118106
20260807,D100012G7,KR2100012G70,창원지역개발26-07,소액채권, , ,8970,-22,4.256,8970,4.256,8970,4.256,8970,4.256,52820000,47379540
20260807,D100012G8,KR2100012G88,창원지역개발26-08,소액채권, , ,8937,-15,4.258,8942,4.247,8942,4.247,8937,4.258,11728000,10484572
20260807,D101012G7,KR2101012G78,세종지역개발26-07,소액채권, , ,8977,-15,4.24,8951,4.3,8977,4.24,8951,4.3,160057000,143292845
20260807,D101012G8,KR2101012G86,세종지역개발26-08,소액채권, , ,8937,-15,4.258,8942,4.247,8942,4.247,8937,4.258,135180000,120867443
20260807,D106012G7,KR2106012G77,전남광주지역개발26-07,소액채권, , ,8977,-15,4.24,8953,4.296,8977,4.24,8950.5,4.302,691240000,619370182
20260807,D106012G8,KR2106012G85,전남광주지역개발26-08,소액채권, , ,8937,-15,4.258,8942,4.247,8942,4.247,8927,4.281,1601429000,1431598877
20260807,E10502GC8,KR310502GC82,기업은행 조건부(상)2208이(신)영B-12(사),일반채권, , ,10053,-1,4.615,10053,4.615,10053,4.615,10053,4.615,11640000,11701692
20260807,E10506AFB,KR310506AFB6,기업은행(단)2511할304A-17,일반채권, , ,9961.6,0,3.431,9959,3.665,9961.6,3.431,9959,3.665,44250000,44074851
20260807,E50101GB9,KR350101GB92,한국전력1067,일반채권, , ,10073,0,3.233,10073,3.233,10073,3.233,10073,3.233,1100000,1108030
20260807,E50103G9B,KR350103G9B0,한국전력1004,일반채권, , ,10018.9,0,2.752,10018.9,2.752,10018.9,2.752,10018.9,2.752,20000,20036
20260807,E50103GA1,KR350103GA18,한국전력1016,일반채권, , ,9958,0,3.115,9958,3.115,9958,3.115,9958,3.115,20000,19916
20260807,E50103GBB,KR350103GBB9,한국전력1085(지),일반채권, , ,10035.6,0,3.741,10040.5,3.537,10042,3.475,10035,3.766,66050000,66288093
20260807,E50104GA2,KR350104GA25,한국전력1021,일반채권, , ,9981.5,31.5,3.115,9965,3.422,9981.5,3.115,9965,3.422,22320000,22241912
20260807,E50105GEA,KR350105GEA0,한국전력1428,일반채권, , ,10110,.8,2.699,10110,2.699,10110,2.699,10110,2.699,60000,60660
20260807,E50107GB9,KR350107GB96,한국전력1073,일반채권, , ,10055.7,0,3.679,10055.7,3.679,10055.7,3.679,10055.7,3.679,19940000,20051065
20260807,E50201GAB,KR350201GAB3,서울교통공사2020-4,일반채권, , ,9776.8,-.3,3.472,9744.2,3.746,9776.8,3.472,9744.2,3.746,100760000,98185035
20260807,E54404GB9,KR354404GB98,주택금융공사MBS2021-20(1-4)(사),일반채권, , ,10000,0,6.392,10000,6.392,10000,6.392,10000,6.392,300000,300000
20260807,E56101DE4,KR356101DE40,토지주택채권(용지)24-04,일반채권, , ,10610,0,4.306,10610,4.306,10610,4.306,10610,4.306,250000,265250
20260807,E56101DFB,KR356101DFB5,토지주택채권(용지)25-11,일반채권, , ,9710,0,4.19,9710,4.19,9710,4.19,9710,4.19,1000000,971000
20260807,E56101DG8,KR356101DG89,토지주택채권(용지)26-08,일반채권, , ,9400,0,4.69,9400,4.69,9400,4.69,9400,4.69,3000000,2820000
20260807,E56102724,KR3561027243,토지주택채권125,일반채권, , ,10000,0,4.419,10000,4.419,10000,4.419,10000,4.419,100000,100000
20260807,E56112722,KR3561127225,토지주택채권112,일반채권, , ,9960,-40,4.469,9910,4.572,9960,4.469,9910,4.572,520000,517820
20260807,E56801G6A,KR356801G6A0,울산항만공사3,일반채권, , ,10020,5,3.433,10020,3.433,10020,3.433,10020,3.433,10000000,10020000
20260807,E80601GE3,KR380601GE34,수산금융채권(은행)24-03이영구(신종)-14,일반채권, , ,9977,-3,4.946,9900,4.985,9980,4.945,9900,4.985,43410000,43299060
20260807,E80801AG3,KR380801AG36,한국수출입금융2603바-할인-184,일반채권, , ,9965.6,2.1,3.073,9965.6,3.073,9965.6,3.073,9965.6,3.073,98270000,97931950
20260807,E80807GE8,KR380807GE85,한국수출입금융2408자-이표-2,일반채권, , ,10069.5,1.2,2.74,10069.5,2.74,10069.5,2.74,10069.5,2.74,10000,10069
20260807,E81001G9A,KR381001G9A0,농금(은행)조건부(상)2019-10이10Y-갑(후),일반채권, , ,9600,0,3.501,9600,3.501,9600,3.501,9600,3.501,20000,19200
20260807,E81001GD7,KR381001GD70,농업금융채권(은행)2023-07이-A(신종),일반채권, , ,10015,0,5.317,10015,5.317,10015,5.317,10015,5.317,9880000,9894820
20260807,E81002GC4,KR381002GC47,농업금융채권(은행)2022-04이-A(신종),일반채권, , ,10000,0,4.311,10000,4.311,10000,4.311,10000,4.311,20000,20000
20260807,E81003GD8,KR381003GD86,농업금융채권(은행)2023-08이3Y-C,일반채권, , ,10090,-9,45.589,11644.5,-4873.167,13090,-8398.777,7090,15636.107,499100000,548867900
20260807,B000011D3,KR6000011D31,신한은행27-03-이-영구5갑(신),일반채권, , ,9990,-10,4.634,9990,4.634,9990,4.634,9990,4.634,2080000,2077920
20260807,B000011E4,KR6000011E48,신한은행28-04-이-영구5갑(신),일반채권, , ,9957,0,4.21,9957,4.21,9957,4.21,9957,4.21,20000,19914
20260807,B000012C5,KR6000012C56,신한은행26-05-이-영구5갑(신),일반채권, , ,10000,0,4.502,10000,4.502,10000,4.502,10000,4.502,10000,10000
20260807,B000014CA,KR6000014CA7,신한은행26-10-이-영구5갑(신),일반채권, , ,10300,0,5.551,10300,5.551,10300,5.551,10300,5.551,15000000,15450000
20260807,B000014F4,KR6000014F44,신한은행29-04-이-1.5-A,일반채권, , ,9985,0,3.769,9990,3.528,9990.5,3.504,9985,3.769,20970000,20940393
20260807,B000017F4,KR6000017F41,신한은행29-04-이-영구5갑(신),일반채권, , ,9350,0,3.692,9350,3.692,9350,3.692,9350,3.692,20000,18700
